Data,Total
set-1977,9341
out-1977,9412
nov-1977,9438
dez-1977,9345
jan-1978,9229
fev-1978,9231
mar-1978,9871
abr-1978,10107
mai-1978,10106
jun-1978,10138
jul-1978,10051
ago-1978,10074
set-1978,10122
out-1978,10162
nov-1978,10092
dez-1978,10009
jan-1979,9826
fev-1979,9791
mar-1979,9956
abr-1979,9899
mai-1979,9950
jun-1979,9678
jul-1979,9769
ago-1979,9981
set-1979,9959
out-1979,10101
nov-1979,10374
dez-1979,10134
jan-1980,10309
fev-1980,10335
mar-1980,10345
abr-1980,10334
mai-1980,10262
jun-1980,10180
jul-1980,10159
ago-1980,10026
set-1980,10229
out-1980,10120
nov-1980,10056
dez-1980,10208
jan-1981,27227
fev-1981,27434
mar-1981,27456
abr-1981,27283
mai-1981,27081
jun-1981,27518
jul-1981,27105
ago-1981,27354
set-1981,27422
out-1981,27285
nov-1981,27374
dez-1981,27378
jan-1982,27233
fev-1982,27816
mar-1982,27699
abr-1982,27465
mai-1982,27757
jun-1982,27602
jul-1982,27684
ago-1982,27598
set-1982,27810
out-1982,27812
nov-1982,27767
dez-1982,27477
jan-1983,27823
fev-1983,27993
mar-1983,27833
abr-1983,28046
mai-1983,27560
jun-1983,27692
jul-1983,27627
ago-1983,27737
set-1983,28090
out-1983,28046
nov-1983,28029
dez-1983,26901
jan-1984,28354
fev-1984,28371
mar-1984,27587
abr-1984,28357
mai-1984,28633
jun-1984,28220
jul-1984,28349
ago-1984,28149
set-1984,28740
out-1984,28452
nov-1984,28718
dez-1984,28413
jan-1985,27866
fev-1985,28952
mar-1985,29149
abr-1985,28911
mai-1985,29281
jun-1985,28935
jul-1985,28657
ago-1985,28203
set-1985,28728
out-1985,28761
nov-1985,28513
dez-1985,28940
jan-1986,29281
fev-1986,29427
mar-1986,28900
abr-1986,28427
mai-1986,28440
jun-1986,27757
jul-1986,27881
ago-1986,26931
set-1986,26769
out-1986,27181
nov-1986,27118
dez-1986,26861
jan-1987,27459
fev-1987,27018
mar-1987,27360
abr-1987,27486
mai-1987,26989
jun-1987,26769
jul-1987,26665
ago-1987,26539
set-1987,26490
out-1987,27078
nov-1987,27258
dez-1987,26998
jan-1988,26747
fev-1988,27191
mar-1988,27209
abr-1988,26894
mai-1988,26703
jun-1988,26493
jul-1988,26077
ago-1988,26249
set-1988,25706
out-1988,26074
nov-1988,26095
dez-1988,25820
jan-1989,25770
fev-1989,25325
mar-1989,24412
abr-1989,25206
mai-1989,25423
jun-1989,24734
jul-1989,24053
ago-1989,24501
set-1989,24519
out-1989,24233
nov-1989,24524
dez-1989,23910
jan-1990,24501
fev-1990,24326
mar-1990,24117
abr-1990,24021
mai-1990,23747
jun-1990,22929
jul-1990,23204
ago-1990,23587
set-1990,23373
out-1990,24509
nov-1990,23910
dez-1990,23848
jan-1991,24347
fev-1991,24817
mar-1991,24524
abr-1991,24327
mai-1991,23994
jun-1991,23716
jul-1991,23813
ago-1991,23676
set-1991,23886
out-1991,24152
nov-1991,23748
dez-1991,23613
jan-1992,23872
fev-1992,23973
mar-1992,23828
abr-1992,23617
mai-1992,23186
jun-1992,23204
jul-1992,23043
ago-1992,22399
set-1992,22789
out-1992,23072
nov-1992,22748
dez-1992,23015
jan-1993,22536
fev-1993,22456
mar-1993,22562
abr-1993,22230
mai-1993,22106
jun-1993,21904
jul-1993,21505
ago-1993,21800
set-1993,21606
out-1993,22125
nov-1993,22406
dez-1993,22243
jan-1994,22107
fev-1994,21908
mar-1994,21822
abr-1994,21337
mai-1994,21645
jun-1994,21350
jul-1994,20996
ago-1994,21131
set-1994,21342
out-1994,21578
nov-1994,21400
dez-1994,21918
jan-1995,21621
fev-1995,21960
mar-1995,21325
abr-1995,21324
mai-1995,21404
jun-1995,21218
jul-1995,20748
ago-1995,20772
set-1995,20626
out-1995,20737
nov-1995,21225
dez-1995,21054
jan-1996,20932
fev-1996,21211
mar-1996,21168
abr-1996,20696
mai-1996,20521
jun-1996,20792
jul-1996,20332
ago-1996,20406
set-1996,20847
out-1996,20821
nov-1996,20829
dez-1996,20908
jan-1997,20585
fev-1997,20924
mar-1997,20688
abr-1997,20652
mai-1997,20725
jun-1997,20586
jul-1997,20466
ago-1997,20242
set-1997,20732
out-1997,20687
nov-1997,20656
dez-1997,20883
jan-1998,20852
fev-1998,20666
mar-1998,20443
abr-1998,20651
mai-1998,20212
jun-1998,19936
jul-1998,19737
ago-1998,19742
set-1998,18461
out-1998,19624
nov-1998,19589
dez-1998,19290
jan-1999,19052
fev-1999,19002
mar-1999,18781
abr-1999,18714
mai-1999,18714
jun-1999,18247
jul-1999,18385
ago-1999,18353
set-1999,18343
out-1999,18909
nov-1999,18903
dez-1999,18935
jan-2000,18379
fev-2000,18588
mar-2000,18767
abr-2000,18573
mai-2000,18504
jun-2000,18395
jul-2000,18132
ago-2000,18282
set-2000,18165
out-2000,18391
nov-2000,18484
dez-2000,18573
jan-2001,18377
fev-2001,18318
mar-2001,18649
abr-2001,18572
mai-2001,18444
jun-2001,18233
jul-2001,18172
ago-2001,18102
set-2001,18017
out-2001,18132
nov-2001,18665
dez-2001,18712
jan-2002,18655
fev-2002,18672
mar-2002,18694
abr-2002,18541
mai-2002,18719
jun-2002,18671
jul-2002,18181
ago-2002,18350
set-2002,17121
out-2002,17057
nov-2002,17775
dez-2002,18174
jan-2003,18248
fev-2003,18361
mar-2003,18433
abr-2003,18147
mai-2003,17979
jun-2003,17966
jul-2003,17420
ago-2003,17669
set-2003,17788
out-2003,17809
nov-2003,17604
dez-2003,17669
jan-2004,17730
fev-2004,17650
mar-2004,17831
abr-2004,17629
mai-2004,17611
jun-2004,17140
jul-2004,17265
ago-2004,16676
set-2004,16112
out-2004,16445
nov-2004,17218
dez-2004,17473
jan-2005,17255
fev-2005,17421
mar-2005,17724
abr-2005,17585
mai-2005,17684
jun-2005,17157
jul-2005,16536
ago-2005,16431
set-2005,13459
out-2005,14528
nov-2005,15445
dez-2005,15804
jan-2006,15975
fev-2006,15915
mar-2006,15834
abr-2006,16044
mai-2006,16254
jun-2006,16270
jul-2006,15963
ago-2006,15741
set-2006,15752
out-2006,16039
nov-2006,15844
dez-2006,16345
jan-2007,16096
fev-2007,16105
mar-2007,16101
abr-2007,16288
mai-2007,16398
jun-2007,15940
jul-2007,15830
ago-2007,15554
set-2007,15345
out-2007,15761
nov-2007,15844
dez-2007,16067
jan-2008,16055
fev-2008,16152
mar-2008,16295
abr-2008,16245
mai-2008,16110
jun-2008,16067
jul-2008,16172
ago-2008,15554
set-2008,12602
out-2008,14930
nov-2008,15963
dez-2008,16013
jan-2009,16110
fev-2009,16423
mar-2009,16364
abr-2009,16487
mai-2009,16808
jun-2009,16379
jul-2009,16742
ago-2009,16826
set-2009,17328
out-2009,17231
nov-2009,16846
dez-2009,17011
jan-2010,16850
fev-2010,17297
mar-2010,17194
abr-2010,16817
mai-2010,16774
jun-2010,16672
jul-2010,16437
ago-2010,16879
set-2010,17460
out-2010,17509
nov-2010,17336
dez-2010,17434
jan-2011,16953
fev-2011,16828
mar-2011,17465
abr-2011,17294
mai-2011,17456
jun-2011,17320
jul-2011,16768
ago-2011,17522
set-2011,17425
out-2011,18274
nov-2011,18708
dez-2011,18930
jan-2012,19122
fev-2012,19386
mar-2012,19550
abr-2012,19511
mai-2012,19654
jun-2012,19317
jul-2012,19710
ago-2012,19456
set-2012,20298
out-2012,21454
nov-2012,21801
dez-2012,21876
jan-2013,21797
fev-2013,21977
mar-2013,22174
abr-2013,22642
mai-2013,22491
jun-2013,22320
jul-2013,23057
ago-2013,23031
set-2013,24024
out-2013,23802
nov-2013,24295
dez-2013,24341
jan-2014,24755
fev-2014,24962
mar-2014,25403
abr-2014,26098
mai-2014,26433
